,Ticker,Date,Div Amount
572,SRG.AX,2019-09-10,0.005
573,SRG.AX,2019-03-12,0.01
574,SRG.AX,2018-08-17,0.025
575,SRG.AX,2018-03-13,0.02
576,SRG.AX,2018-03-08,0.02
577,SRG.AX,2017-09-14,0.01
578,SRG.AX,2017-09-12,0.04
579,SRG.AX,2017-03-13,0.03
580,SRG.AX,2017-03-02,0.01
581,SRG.AX,2016-09-15,0.04
582,SRG.AX,2016-09-14,0.01
583,SRG.AX,2016-03-11,0.02
584,SRG.AX,2015-09-16,0.05
585,SRG.AX,2015-03-11,0.02
586,SDA.AX,2019-03-07,0.048
587,SDA.AX,2018-09-07,0.024
588,SDA.AX,2018-03-08,0.048
589,SDA.AX,2017-09-11,0.0343
590,SDA.AX,2017-09-08,0.024
591,SDA.AX,2017-03-06,0.024
592,SDA.AX,2016-09-05,0.032
593,SDA.AX,2016-03-03,0.0365
594,SDA.AX,2015-09-04,0.03
595,SDA.AX,2015-03-04,0.0336
596,SFY.AX,2019-12-30,0.58711
597,SFY.AX,2019-09-27,0.914631
598,SFY.AX,2019-06-27,0.721067
599,SFY.AX,2019-03-28,0.752388
600,SFY.AX,2018-06-28,0.551607
601,SFY.AX,2018-03-28,0.526257
602,SFY.AX,2017-12-28,0.554427
603,SFY.AX,2017-09-28,0.952037
604,SFY.AX,2017-06-29,0.681934
605,SFY.AX,2017-03-30,0.42167
606,SFY.AX,2016-12-29,0.526699
607,SFY.AX,2016-09-30,0.861095
608,SFY.AX,2016-06-29,1.18188
609,SFY.AX,2015-12-29,1.3736
610,SFY.AX,2015-06-26,0.834481
611,SLF.AX,2019-12-30,0.137619
612,SLF.AX,2019-09-27,0.082838
613,SLF.AX,2019-06-27,0.589088
614,SLF.AX,2019-03-28,0.066297
615,SLF.AX,2018-12-28,0.145865
616,SLF.AX,2018-09-27,0.071968
617,SLF.AX,2018-06-28,0.774928
618,SLF.AX,2018-03-28,0.100169
619,SLF.AX,2017-12-28,0.13143
620,SLF.AX,2017-09-28,0.083338
621,SLF.AX,2017-06-29,0.178991
622,SLF.AX,2017-03-30,0.141326
623,SLF.AX,2016-12-29,0.129587
624,SLF.AX,2016-09-29,0.069793
625,SLF.AX,2016-06-29,0.147742
626,SLF.AX,2016-03-30,0.1024
627,SLF.AX,2015-12-29,0.117855
628,SLF.AX,2015-09-28,0.088867
629,SLF.AX,2015-06-26,0.165299
630,SLF.AX,2015-03-27,0.08252
